Size	Time	Avg_OB	Min_OB	Max_OB
10	0.000004	25.70	19	39
20	0.000005	72.40	62	87
30	0.000008	132.00	109	169
40	0.000010	195.55	166	236
50	0.000010	253.80	224	295
60	0.000015	326.15	280	403
70	0.000014	394.60	345	468
80	0.000018	484.05	410	594
90	0.000018	577.45	486	744
100	0.000022	659.10	572	735
