Size	Time	Avg_OB	Min_OB	Max_OB
10	0.000002	34.35	31	39
20	0.000003	88.40	83	95
30	0.000004	150.00	142	164
40	0.000005	220.10	206	249
50	0.000006	288.10	273	324
60	0.000008	362.20	347	394
70	0.000009	449.70	418	499
80	0.000010	522.85	495	570
90	0.000011	607.65	572	665
100	0.000014	694.05	652	748
