Size	Time	Avg_OB	Min_OB	Max_OB
10	0.000004	23.25	20	31
20	0.000005	66.35	58	88
30	0.000008	132.70	105	166
40	0.000008	190.65	158	223
50	0.000010	267.10	228	378
60	0.000013	333.40	293	384
70	0.000015	385.60	342	489
80	0.000017	471.80	420	617
90	0.000018	548.25	479	676
100	0.000023	649.65	557	847
